sha,test_time,test_status,reduced_javamop_time,reduced_javamop_status,reduced_emop_time,reduced_emop_status,reduced_imop_time,reduced_imop_status,redundant_test_time,redundant_test_status,reduced_partial_javamop_time,reduced_partial_javamop_status,redundant_partial_test_time,redundant_partial_test_status,all_javamop_time,all_javamop_status,all_emop_time,all_emop_status,all_imop_time,all_imop_status,all_rts_javamop_time,all_rts_javamop_status
0eaacc88fd2143119c60ace2c825aac415ec4783,16232,0,95598,0,86470,0,98282,0,11189,0,0,0,0,0,242201,0,238736,0,240477,0,242773,0
f34420886f2922508d268db7c7ce8c2825e91b1c,43502,0,98737,0,113548,0,110718,0,28679,0,0,0,0,0,297206,0,282587,0,296480,0,270497,0
7dad760dffbf6143a5c6d58acd9444b6b0028180,44953,0,104716,0,112642,0,105503,0,33702,0,0,0,0,0,271780,0,278162,0,255305,0,262144,0
b950cc5738db6a5c20fb9186d118045a12dd3380,42067,0,97834,0,100138,0,110617,0,29033,0,0,0,0,0,153828,0,150925,0,143637,0,158675,0
d9363712a7a5fffa659be6e8eea7ed3dfbc3a1d4,42172,0,107481,0,101985,0,104215,0,26407,0,0,0,0,0,166421,0,161929,0,151874,0,150516,0
6104463050e5c54e890e872a5c04c3ab767dd30f,41961,0,112854,0,114557,0,95206,0,27510,0,0,0,0,0,165225,0,158334,0,161559,0,159653,0
f41e43fb3438ae159cbab8785133ba423b9aa852,40168,0,99907,0,111883,0,103596,0,32379,0,0,0,0,0,159939,0,167835,0,161205,0,153564,0
0f3a2de696924ca4c33dc86dea169efeace26a81,40903,0,107602,0,111989,0,101690,0,32102,0,0,0,0,0,157266,0,161288,0,148735,0,153678,0
c981f4cde7d4ac3bb2d0bfbe3cebffc729266329,38315,0,100493,0,109190,0,104793,0,26914,0,0,0,0,0,149197,0,160016,0,173103,0,167499,0
f7f49035f7254e8eb8a3437b0a1033c4cb472ac8,42734,0,110049,0,105662,0,104712,0,35479,0,0,0,0,0,173619,0,154997,0,158668,0,165095,0
3be3564397c4a5f5c2938f3aceaff29306444ecc,41717,0,107213,0,110398,0,108189,0,29636,0,0,0,0,0,173105,0,159288,0,158902,0,170462,0
f43948b76a7349561b512f6f4e9311dc8c368d5e,43199,0,104089,0,109078,0,98883,0,32956,0,0,0,0,0,177670,0,166732,0,180908,0,162998,0
b371f9cb6f5784d9aecc3139c3efde4f776e7b71,44571,0,101290,0,111798,0,106670,0,30985,0,0,0,0,0,165574,0,163190,0,150756,0,166913,0
686777452f1bb6ae621229d4a01de885c3d521e5,41018,0,113850,0,109653,0,106504,0,34302,0,0,0,0,0,167346,0,163349,0,170681,0,160628,0
62be5825660a549430c1c7d8aab7be8ebd2ed049,43104,0,109941,0,128484,0,108569,0,30116,0,0,0,0,0,158734,0,158003,0,170148,0,170932,0
db0019c5d8d77a031d31b1dd4db8412ec0901bf0,16082,0,113070,0,85634,0,96126,0,10519,0,0,0,0,0,238481,0,235989,0,236989,0,247844,0
162d52fea6aaf1814955f7df5ed61dc7a4f4333c,15306,0,101811,0,90837,0,94584,0,12527,0,0,0,0,0,260208,0,249533,0,232766,0,254742,0
0eaacc88fd2143119c60ace2c825aac415ec4783,15899,0,89832,0,84405,0,95737,0,11176,0,0,0,0,0,267149,0,243420,0,226997,0,256089,0
f34420886f2922508d268db7c7ce8c2825e91b1c,42354,0,106660,0,108659,0,109837,0,29989,0,0,0,0,0,269866,0,277304,0,279665,0,263208,0
7dad760dffbf6143a5c6d58acd9444b6b0028180,42724,0,103834,0,109670,0,96428,0,33220,0,0,0,0,0,263570,0,277487,0,260809,0,262028,0
