project,all_reduced_tests,time_all_track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
dernasherbrezon-jradio,645,343.548,9.771,27,278,274.558,9.069,3.474,27,343,339.304,9.008,3.618,56,237,276.554,8.996,3.590,27,241,268.793,8.180,5.006,27,249,275.477,9.029,3.520,27,277,342.460,8.825,3.862,27,202,96.183,7.024,5.373,27,209,99.562,6.262,6.898,27,200,95.516,6.884,5.408,27,205,97.067,6.124,6.753,27
eightbitjim-cassette-nibbler,28,1576.737,2.532,2,18,1434.118,2.209,1.512,2,18,1443.664,2.192,1.511,2,10,943.931,1.971,1.916,2,10,990.042,1.935,1.900,2,15,1428.972,2.194,1.531,2,15,1473.882,2.140,1.521,2,9,704.774,1.742,2.152,2,9,620.494,1.662,1.878,2,7,563.887,1.700,2.123,2,7,553.388,1.677,1.886,2
f-lab-edu-real-time-delivery-market,6,66.759,2.092,0,4,76.546,2.084,2.012,0,4,64.779,2.077,2.023,0,4,76.546,2.084,2.012,0,4,64.779,2.077,2.023,0,4,76.546,2.084,2.012,0,4,64.779,2.077,2.023,0,4,76.546,2.084,2.012,0,4,64.779,2.077,2.023,0,4,76.546,2.084,2.012,0,4,64.779,2.077,2.023,0
f4b6a3-uuid-creator,496,40.825,22.495,0,54,21.563,11.553,4.882,0,54,22.397,1.654,13.827,0,52,22.326,11.257,4.914,0,52,21.584,1.654,13.827,0,54,21.563,11.553,4.882,0,54,22.397,1.654,13.827,0,52,22.326,11.257,4.914,0,52,21.584,1.654,13.827,0,52,22.326,11.257,4.914,0,52,21.584,1.654,13.827,0
flipkart-incubator-databuilderframework,83,517.098,62.157,3,39,447.099,45.317,18.977,3,41,503.504,62.310,1.470,37,37,430.081,45.187,18.885,3,34,423.651,44.815,19.101,3,37,440.488,45.217,18.945,3,36,454.638,51.248,13.301,3,34,277.677,43.969,20.106,3,34,267.591,36.092,28.835,3,24,240.577,22.844,41.871,3,24,242.343,23.301,42.017,3
fraunhoferfokus-Fuzzino,170,1279.332,11.520,13,149,737.329,8.862,4.254,13,152,1020.909,11.220,2.069,84,140,712.000,8.829,4.317,13,142,1024.867,11.224,2.101,13,145,709.005,8.880,4.361,13,147,1022.833,11.221,2.090,13,141,705.569,8.859,4.393,13,142,1035.002,11.024,2.388,13,137,697.068,8.875,4.405,13,138,981.910,11.164,2.409,13
houbb-segment,27,70.866,2.652,1,17,71.477,2.613,1.940,1,16,53.767,2.212,2.362,1,14,71.873,2.624,1.918,1,13,53.912,2.245,2.340,1,16,72.054,2.616,1.937,1,15,54.016,2.228,2.368,1,11,71.160,2.637,1.959,1,10,53.409,2.245,2.369,1,10,71.585,2.587,1.942,1,9,53.228,2.235,2.353,1
houbb-sensitive-word,47,1417.137,5.182,0,17,647.654,3.316,3.305,0,17,595.432,3.369,3.406,0,12,362.380,2.659,3.897,0,12,375.051,2.601,3.971,0,16,564.899,3.220,3.525,0,16,593.902,3.274,3.492,0,9,292.242,2.316,4.443,0,9,258.350,2.250,4.295,0,7,210.680,2.040,4.580,0,6,181.157,1.941,4.810,0
huaban-jieba-analysis,5,174.457,4.541,3,4,79.828,3.399,3.173,3,5,174.870,4.550,4.623,3,3,80.448,3.389,3.201,3,3,80.051,3.427,3.207,3,4,79.828,3.399,3.173,3,4,79.903,3.374,3.156,3,2,11.911,2.032,4.608,3,2,11.916,1.968,4.521,3,2,11.911,2.032,4.608,3,2,11.916,1.968,4.521,3
indeedeng-vowpal-wabbit-java,16,3350.984,94.153,0,8,5.655,1.331,90.522,0,13,3545.443,88.321,1.213,0,7,5.541,1.332,90.755,0,13,3545.443,88.321,1.213,0,8,5.655,1.331,90.522,0,13,3545.443,88.321,1.213,0,6,5.477,1.323,89.924,0,9,1213.512,43.266,47.592,0,6,5.477,1.323,89.924,0,9,1213.512,43.266,47.592,0
jahlborn-jackcess,194,849.193,37.711,30,181,829.267,13.300,23.246,30,181,828.201,13.152,23.306,497,170,834.229,13.304,23.584,30,170,833.170,13.293,23.618,30,180,809.444,13.165,23.277,30,180,824.443,13.152,23.306,30,170,834.229,13.304,23.584,30,170,833.170,13.293,23.618,30,170,834.229,13.304,23.584,30,170,833.170,13.293,23.618,30
lhncbc-metamaplite,36,17.091,1.899,0,18,15.945,1.893,1.781,0,,,,,,18,15.945,1.893,1.781,0,,,,,,18,15.945,1.893,1.781,0,,,,,,17,15.955,1.865,1.780,0,,,,,,16,15.917,1.895,1.783,0,,,,,
mimno-Mallet,184,2423.171,17.724,13,90,2330.838,10.388,9.076,13,,,,,,80,1804.656,10.707,9.374,13,,,,,,86,1996.363,10.537,8.993,13,,,,,,79,1984.447,10.534,9.423,13,,,,,,75,1915.026,10.738,9.394,13,,,,,
