project,best-none-greedy_reduced_tests,time_best-none-greedy_track,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_track,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_track,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_track,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_track,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_track,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_track,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_track,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
mocnik-science-geogrid,2,101.247,8.7,0,2,101.247,8.7,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0,2,120.19,6.143,0
mojohaus-aspectj-maven-plugin,11,67.55,2.403,9,11,68.582,2.368,9,11,68.582,2.368,9,11,67.55,2.403,9,11,67.55,2.403,9,11,67.55,2.403,9,11,68.582,2.368,9,11,67.55,2.403,9
mojohaus-license-maven-plugin,29,23.117,1.705,13,29,23.117,1.705,13,29,23.117,1.705,13,29,23.686,1.717,4,29,24.061,1.711,4,29,24.061,1.711,4,29,23.117,1.705,13,29,24.061,1.711,4
nonblocking-nonsnapshot-maven-plugin,26,10.965,1.52,11,26,10.965,1.52,11,26,10.965,1.52,11,26,10.947,1.519,2,26,10.947,1.519,2,26,10.947,1.519,2,26,10.965,1.52,11,26,10.947,1.519,2
octavian-h-time-series-math,ERROR: timedout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
palindromicity-simple-syslog,15,54.441,1.636,3,15,32.482,1.765,3,15,36.333,1.775,3,15,36.937,1.77,3,15,15.193,1.921,3,15,15.193,1.921,3,15,36.333,1.775,3,15,15.193,1.921,3
pebbleblog-pebble,94,80.154,2.893,0,93,51.053,2.865,0,93,51.768,2.839,0,93,64.224,2.836,0,93,52.002,2.879,0,93,92.066,2.854,0,93,51.768,2.839,0,93,52.147,2.849,0
picturesafe-picturesafe-search,24,31.64,2.114,0,23,31.806,2.099,0,23,31.806,2.099,0,23,32.436,2.119,0,24,32.153,2.111,0,23,32.436,2.119,0,23,31.806,2.099,0,23,32.436,2.119,0
romix-java-concurrent-hash-trie-map,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16,11,191.96,2.2,16
rythmengine-rythmengine,222,89.871,5.856,3,222,101.309,3.791,3,222,101.309,3.791,3,222,101.004,2.738,3,222,89.871,5.856,3,222,89.871,5.856,3,222,101.309,3.791,3,222,89.871,5.856,3
sangupta-bloomfilter,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1,4,92.968,3.296,1
sbesada-java.math.expression.parser,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0,8,3157.41,1.228,0
stefano81-dcpabe,19,45.097,5.144,29,19,45.097,5.144,29,19,44.631,5.082,8,19,44.631,5.082,8,19,45.097,5.144,29,19,45.097,5.144,29,19,44.631,5.082,8,19,45.097,5.144,29
wiqer-ef-redis,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0,4,185.123,1.277,0
wz2cool-mybatis-dynamic-query,42,25.842,1.96,7,42,25.735,1.953,7,42,25.95,1.964,7,42,26.897,1.963,7,42,25.91,1.955,7,42,25.854,1.948,7,42,25.95,1.964,7,42,25.854,1.948,7
