project,best-none-greedy_reduced_tests,time_best-none-greedy_no-track,time_best-none-greedy_no-rv,time_best-none-greedy_redundant-and-no-trace-no-rv,violations_best-none-greedy,best-none-ge_reduced_tests,time_best-none-ge_no-track,time_best-none-ge_no-rv,time_best-none-ge_redundant-and-no-trace-no-rv,violations_best-none-ge,best-none-gre_reduced_tests,time_best-none-gre_no-track,time_best-none-gre_no-rv,time_best-none-gre_redundant-and-no-trace-no-rv,violations_best-none-gre,best-none-hgs_reduced_tests,time_best-none-hgs_no-track,time_best-none-hgs_no-rv,time_best-none-hgs_redundant-and-no-trace-no-rv,violations_best-none-hgs,best-time-greedy_reduced_tests,time_best-time-greedy_no-track,time_best-time-greedy_no-rv,time_best-time-greedy_redundant-and-no-trace-no-rv,violations_best-time-greedy,best-time-ge_reduced_tests,time_best-time-ge_no-track,time_best-time-ge_no-rv,time_best-time-ge_redundant-and-no-trace-no-rv,violations_best-time-ge,best-time-gre_reduced_tests,time_best-time-gre_no-track,time_best-time-gre_no-rv,time_best-time-gre_redundant-and-no-trace-no-rv,violations_best-time-gre,best-time-hgs_reduced_tests,time_best-time-hgs_no-track,time_best-time-hgs_no-rv,time_best-time-hgs_redundant-and-no-trace-no-rv,violations_best-time-hgs
houbb-segment,10,24.664,2.2,2.336,1,10,24.664,2.2,2.336,1,10,24.942,2.182,2.338,1,10,24.876,2.22,2.345,1,10,26.422,2.175,2.345,1,10,26.422,2.175,2.345,1,10,24.942,2.182,2.338,1,10,26.422,2.175,2.345,1
houbb-sensitive-word,6,59.042,2.069,4.925,0,6,54.265,1.981,4.619,0,6,55.558,1.997,5.051,0,6,77.805,2.312,4.348,0,6,56.606,1.958,4.627,0,6,58.935,1.999,4.909,0,6,55.558,1.997,5.051,0,6,58.935,1.999,4.909,0
huaban-jieba-analysis,2,6.591,1.958,4.567,3,2,50.691,3.139,3.337,3,2,6.591,1.958,4.567,3,2,6.591,1.958,4.567,3,2,6.591,1.958,4.567,3,2,6.591,1.958,4.567,3,2,6.591,1.958,4.567,3,2,6.591,1.958,4.567,3
indeedeng-vowpal-wabbit-java,8,6.146,1.288,89.601,0,8,6.146,1.288,89.601,0,8,6.146,1.288,89.601,0,8,6.203,1.356,91.022,0,8,6.203,1.356,91.022,0,8,6.203,1.356,91.022,0,8,6.146,1.288,89.601,0,8,6.203,1.356,91.022,0
jahlborn-jackcess,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30,180,188.309,13.085,23.174,30
lhncbc-metamaplite,18,15.053,1.936,1.85,0,18,15.053,1.936,1.85,0,18,15.02,1.924,1.801,0,18,16.57,1.933,1.843,0,18,16.57,1.933,1.843,0,18,16.57,1.933,1.843,0,18,15.02,1.924,1.801,0,18,16.57,1.933,1.843,0
mimno-Mallet,79,751.23,9.951,9.126,13,79,678.343,9.871,8.535,13,79,693.373,10.494,9.507,13,79,689.195,10.772,8.45,13,79,871.175,10.153,8.328,13,79,871.175,10.153,8.328,13,79,693.373,10.494,9.507,13,79,723.274,10.563,8.466,13
mocnik-science-geogrid,3,68.037,14.357,4.804,0,3,68.037,14.357,4.804,0,3,64.955,11.824,5.801,0,3,64.955,11.824,5.801,0,3,64.955,11.824,5.801,0,3,64.955,11.824,5.801,0,3,64.955,11.824,5.801,0,3,64.955,11.824,5.801,0
mojohaus-aspectj-maven-plugin,11,41.112,2.597,2.428,66,11,40.3,2.59,2.432,9,11,40.3,2.59,2.432,9,11,41.112,2.597,2.428,66,11,41.112,2.597,2.428,66,11,41.112,2.597,2.428,66,11,40.3,2.59,2.432,9,11,41.112,2.597,2.428,66
mojohaus-license-maven-plugin,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13,33,23.376,1.945,1.739,13
nonblocking-nonsnapshot-maven-plugin,25,11.141,1.649,1.537,11,25,11.141,1.649,1.537,11,25,11.141,1.649,1.537,11,25,10.832,1.712,1.546,2,25,10.832,1.712,1.546,2,25,10.832,1.712,1.546,2,25,11.141,1.649,1.537,11,25,10.832,1.712,1.546,2
octavian-h-time-series-math,10,126.715,12.277,1.842,0,10,126.62,12.384,1.822,0,10,126.62,12.384,1.822,0,10,125.812,12.445,1.842,0,10,126.694,12.488,1.845,0,10,125.489,12.33,1.814,0,10,125.132,12.323,1.819,0,10,125.489,12.33,1.814,0
palindromicity-simple-syslog,23,30.885,1.802,1.625,3,23,26.721,1.766,1.634,3,23,30.691,1.767,1.64,3,23,30.427,1.795,1.615,3,23,30.783,1.776,1.617,3,23,32.183,1.77,1.63,3,23,30.691,1.767,1.64,3,23,30.618,1.796,1.623,3
pebbleblog-pebble,94,120.21,2.982,2.838,0,93,70.865,2.95,2.89,0,93,51.403,2.912,2.847,0,93,52.849,2.954,2.83,0,94,75.838,2.928,2.858,0,93,56.446,3.026,2.847,0,93,51.403,2.912,2.847,0,93,50.949,2.97,2.821,0
picturesafe-picturesafe-search,24,30.74,2.129,2.116,0,23,30.908,2.129,2.136,0,23,30.908,2.129,2.136,0,23,30.91,2.117,2.118,0,24,31.027,2.101,2.103,0,23,30.91,2.117,2.118,0,23,30.908,2.129,2.136,0,23,30.91,2.117,2.118,0
romix-java-concurrent-hash-trie-map,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7,10,34.611,4.084,2.175,7
rythmengine-rythmengine,222,107.818,9.007,5.892,3,222,107.818,9.007,5.892,3,222,91.509,11.09,3.784,3,222,84.53,12.156,2.765,3,222,81.172,8.956,5.882,3,222,81.172,8.956,5.882,3,222,91.509,11.09,3.784,3,222,81.172,8.956,5.882,3
sangupta-bloomfilter,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1,4,26.351,7.978,3.281,1
sbesada-java.math.expression.parser,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0,8,330.281,12.423,1.184,0
stefano81-dcpabe,21,41.984,4.632,4.986,29,21,41.984,4.632,4.986,29,21,41.984,4.642,5.069,8,21,41.984,4.642,5.069,8,21,41.984,4.632,4.986,29,21,41.984,4.632,4.986,29,21,41.984,4.642,5.069,8,21,41.984,4.632,4.986,29
wiqer-ef-redis,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0,4,52.113,4.31,1.248,0
wz2cool-mybatis-dynamic-query,50,25.624,1.884,1.763,7,50,25.26,1.88,1.781,7,50,24.959,1.873,1.775,7,50,25.529,1.862,1.764,7,50,25.374,1.872,1.767,7,50,25.529,1.862,1.764,7,50,24.959,1.873,1.775,7,50,25.529,1.862,1.764,7
