project,all_reduced_tests,time_all_no-track,time_all_no-rv,violations_all,SEQ_perfect_reduced_tests,SEQ_time_perfect_no-track,SEQ_time_perfect_no-rv,SEQ_time_perfect_redundant-no-rv,SEQ_violations_perfect,PAR_perfect_reduced_tests,PAR_time_perfect_no-track,PAR_time_perfect_no-rv,PAR_time_perfect_redundant-no-rv,PAR_violations_perfect,SEQ_state_reduced_tests,SEQ_time_state_no-track,SEQ_time_state_no-rv,SEQ_time_state_redundant-no-rv,SEQ_violations_state,PAR_state_reduced_tests,PAR_time_state_no-track,PAR_time_state_no-rv,PAR_time_state_redundant-no-rv,PAR_violations_state,SEQ_prefix_reduced_tests,SEQ_time_prefix_no-track,SEQ_time_prefix_no-rv,SEQ_time_prefix_redundant-no-rv,SEQ_violations_prefix,PAR_prefix_reduced_tests,PAR_time_prefix_no-track,PAR_time_prefix_no-rv,PAR_time_prefix_redundant-no-rv,PAR_violations_prefix,SEQ_online_detour_reduced_tests,SEQ_time_online_detour_no-track,SEQ_time_online_detour_no-rv,SEQ_time_online_detour_redundant-no-rv,SEQ_violations_online_detour,PAR_online_detour_reduced_tests,PAR_time_online_detour_no-track,PAR_time_online_detour_no-rv,PAR_time_online_detour_redundant-no-rv,PAR_violations_online_detour,SEQ_state-online_detour-prefix_reduced_tests,SEQ_time_state-online_detour-prefix_no-track,SEQ_time_state-online_detour-prefix_no-rv,SEQ_time_state-online_detour-prefix_redundant-no-rv,SEQ_violations_state-online_detour-prefix,PAR_state-online_detour-prefix_reduced_tests,PAR_time_state-online_detour-prefix_no-track,PAR_time_state-online_detour-prefix_no-rv,PAR_time_state-online_detour-prefix_redundant-no-rv,PAR_violations_state-online_detour-prefix
dernasherbrezon-jradio,645,236.895,9.771,27,278,215.525,9.069,3.474,27,232,220.011,9.008,3.618,20,237,187.769,8.996,3.590,27,137,179.994,8.180,5.006,20,249,185.923,9.029,3.520,27,168,214.600,8.825,3.862,20,202,73.644,7.024,5.373,27,106,74.880,6.262,6.898,20,200,71.482,6.884,5.408,27,103,67.396,6.124,6.753,20
eightbitjim-cassette-nibbler,28,326.010,2.532,2,18,285.622,2.209,1.512,2,13,277.670,2.192,1.511,2,10,232.428,1.971,1.916,2,7,200.466,1.935,1.900,2,15,264.167,2.194,1.531,2,11,246.299,2.140,1.521,2,9,148.749,1.742,2.152,2,5,155.196,1.662,1.878,2,7,144.490,1.700,2.123,2,4,150.973,1.677,1.886,2
f-lab-edu-real-time-delivery-market,6,73.497,2.092,0,4,63.565,2.084,2.012,0,4,73.835,2.077,2.023,0,4,63.565,2.084,2.012,0,4,73.835,2.077,2.023,0,4,63.565,2.084,2.012,0,4,73.835,2.077,2.023,0,4,63.565,2.084,2.012,0,4,73.835,2.077,2.023,0,4,63.565,2.084,2.012,0,4,73.835,2.077,2.023,0
f4b6a3-uuid-creator,496,38.464,22.495,0,54,19.810,11.553,4.882,0,1,4.366,1.654,13.827,0,52,20.151,11.257,4.914,0,1,4.366,1.654,13.827,0,54,19.810,11.553,4.882,0,1,4.366,1.654,13.827,0,52,20.151,11.257,4.914,0,1,4.366,1.654,13.827,0,52,20.151,11.257,4.914,0,1,4.366,1.654,13.827,0
flipkart-incubator-databuilderframework,83,294.709,62.157,3,39,242.562,45.317,18.977,3,36,277.695,62.310,1.470,3,37,250.855,45.187,18.885,3,30,234.242,44.815,19.101,3,37,237.588,45.217,18.945,3,32,254.596,51.248,13.301,3,34,178.231,43.969,20.106,3,29,152.798,36.092,28.835,3,24,139.610,22.844,41.871,3,21,148.676,23.301,42.017,3
fraunhoferfokus-Fuzzino,170,123.873,11.520,13,149,87.592,8.862,4.254,13,111,119.119,11.220,2.069,13,140,88.721,8.829,4.317,13,105,115.543,11.224,2.101,13,145,87.514,8.880,4.361,13,109,116.269,11.221,2.090,13,141,88.571,8.859,4.393,13,103,119.171,11.024,2.388,13,137,87.033,8.875,4.405,13,101,115.425,11.164,2.409,13
houbb-segment,27,28.504,2.652,1,17,28.025,2.613,1.940,1,16,24.969,2.212,2.362,1,14,29.034,2.624,1.918,1,13,25.171,2.245,2.340,1,16,30.831,2.616,1.937,1,15,25.086,2.228,2.368,1,11,30.666,2.637,1.959,1,10,24.962,2.245,2.369,1,10,28.180,2.587,1.942,1,9,25.381,2.235,2.353,1
houbb-sensitive-word,47,294.998,5.182,0,17,160.161,3.316,3.305,0,17,142.738,3.369,3.406,0,12,113.491,2.659,3.897,0,12,116.680,2.601,3.971,0,16,147.949,3.220,3.525,0,16,157.572,3.274,3.492,0,9,86.912,2.316,4.443,0,9,82.056,2.250,4.295,0,7,62.380,2.040,4.580,0,6,58.759,1.941,4.810,0
huaban-jieba-analysis,5,91.459,4.541,3,4,46.873,3.399,3.173,3,5,89.630,4.550,4.623,3,3,46.677,3.389,3.201,3,3,46.061,3.427,3.207,3,4,46.873,3.399,3.173,3,4,46.030,3.374,3.156,3,2,6.596,2.032,4.608,3,2,6.617,1.968,4.521,3,2,6.596,2.032,4.608,3,2,6.617,1.968,4.521,3
indeedeng-vowpal-wabbit-java,16,574.173,94.153,0,8,6.053,1.331,90.522,0,12,573.519,88.321,1.213,0,7,6.113,1.332,90.755,0,12,573.519,88.321,1.213,0,8,6.053,1.331,90.522,0,12,573.519,88.321,1.213,0,6,6.172,1.323,89.924,0,8,285.974,43.266,47.592,0,6,6.172,1.323,89.924,0,8,285.974,43.266,47.592,0
